explicit_sentence,pred,explicit_sentence_with_no_stopwords,scores
√äFeatured Article: Dividend Aristocrat Index√ä Receive News & Ratings for Cohen & Steers Select Pref & Inc Fd Daily - Enter your email address below to receive a concise daily summary of the latest news and analysts' ratings for Cohen & Steers Select Pref & Inc Fd and related companies with MarketBeat.com's FREE daily email newsletter.,0,√äFeatured Article: Dividend Aristocrat Index√ä Receive News & Ratings Cohen & Steers Select Pref & Inc Fd Daily - Enter email address receive concise daily summary latest news analysts' ratings Cohen & Steers Select Pref & Inc Fd related companies MarketBeat.com's FREE daily email newsletter.,"[4.220055693782143e-10, 7.921054923087922e-10, 1.9109100968250914e-09, 1.9619927904557244e-09, 5.555284232627855e-09, 1.1735968641346517e-08, 1.4271985371294704e-08, 0.015808016061782837, 2.6990708335006275e-08, 0.0021390817128121853, 0.015808016061782837, 0.0023369365371763706, 0.005326440092176199, 0.01715700328350067, 0.015808016061782837, 0.02037680149078369, 0.0641864612698555, 1.313861389462545e-06, 2.5697090677567758e-06, 4.826543772651348e-06, 0.7157708406448364, 4.813864961761283e-06, 9.184796908812132e-06, 2.0729345123982057e-05, 0.4915772080421448, 5.8052202803082764e-05, 0.00013676956587005407, 0.00046081861364655197, 0.0004814961284864694, 0.0007736142724752426, 0.0021390817128121853, 0.015808016061782837, 0.0023369365371763706, 0.005326440092176199, 0.01715700328350067, 0.015808016061782837, 0.02037680149078369, 0.0641864612698555, 0.0723748505115509, 0.12720054388046265, 0.15827473998069763, 0.22605399787425995, 0.4915772080421448, 0.7157708406448364, 1.4348785877227783]"
in addition to calling at several ports the cruiser waited out the events of the palestinian crisis at suda bay on the northern coast of crete,0,addition calling several ports cruiser waited events palestinian crisis suda bay northern coast crete,"[0.0008086106390692294, 0.0009818898979574442, 0.0020576673559844494, 0.004186317790299654, 0.00630229851230979, 0.015590268187224865, 0.02436276711523533, 0.03949747607111931, 0.08515843003988266, 0.1893482804298401, 0.21412962675094604, 0.3955180048942566, 0.7820232510566711, 1.7771930694580078]"
with the cyclohexanone-oxime the relief of ring strain results in a third reaction mechanism leading directly to the protonated caprolactam in a single concerted step without the intermediate formation of a √Ø‚Ç¨-complex or √Ø∆í-complex,0,cyclohexanone-oxime relief ring strain results third reaction mechanism leading directly protonated caprolactam single concerted step without intermediate formation √Ø‚Ç¨-complex √Ø∆í-complex,"[4.0788458136375993e-05, 6.41242804704234e-05, 8.701489423401654e-05, 0.0002603430184535682, 0.00047616276424378157, 0.0009003793820738792, 0.0025709220208227634, 0.002637791447341442, 0.004441388882696629, 0.011043140664696693, 0.014165889471769333, 0.02812073938548565, 0.055474285036325455, 0.09614088386297226, 0.06924803555011749, 0.15566608309745789, 0.24045872688293457, 0.42377910017967224, 0.9183175563812256, 1.4835197925567627]"
"About ManipalMonk 139 Articles√ä The ways of the monk are turbid and often give you a solid headache but devotion and commitment is the first step to enlightenment ( also known as stick to your poison ). To share your enlightenment with the monk, write to him at manipal.monk@manipalblog.com√ä Website",0,"ManipalMonk 139 Articles√ä ways monk turbid often give solid headache devotion commitment first step enlightenment ( also known stick poison ). share enlightenment monk, write manipal.monk@manipalblog.com√ä Website","[3.3018650924532267e-07, 5.372566533878853e-07, 1.3858940519639873e-06, 2.838541149685625e-06, 4.634273409465095e-06, 1.1282811101409607e-05, 1.5146550140343606e-05, 3.1926010706229135e-05, 5.2294304623501375e-05, 0.0001227147877216339, 0.00014796032337471843, 0.00026837055338546634, 0.00047412532148882747, 0.0008572830120101571, 0.19896918535232544, 0.00337839568965137, 0.0072850426658988, 0.011691736057400703, 0.03459105268120766, 0.03691727668046951, 0.044259555637836456, 0.12707734107971191, 0.19896918535232544, 0.24863240122795105, 0.34528523683547974, 0.8002700805664062, 1.848247766494751]"
Malabsorption associated with pancreatic insufficiency improves with the use of enzyme supplements (see Chapter 72).,0,Malabsorption associated pancreatic insufficiency improves use enzyme supplements (see Chapter 72).,"[0.0059703197330236435, 0.008616491220891476, 0.013765688985586166, 0.05152520537376404, 0.03929557278752327, 0.13282158970832825, 0.1844167411327362, 0.32544055581092834, 0.5158158540725708, 1.0266387462615967, 1.768702745437622]"
the raiatea fruit-dove (ptilinopus purpuratus chrysogaster) is a (sub-)species of bird in the family columbidae,0,raiatea fruit-dove (ptilinopus purpuratus chrysogaster) (sub-)species bird family columbidae,"[0.021287158131599426, 0.042231280356645584, 0.0691961944103241, 0.059119708836078644, 0.13540083169937134, 0.637327253818512, 0.3334115445613861, 0.7266736030578613, 1.7603538036346436]"
poultonella alboimmaculata is a species of jumping spider in the family salticidae,0,poultonella alboimmaculata species jumping spider family salticidae,"[0.029263906180858612, 0.05569484457373619, 0.13317659497261047, 0.20137818157672882, 0.3584804832935333, 0.7530763149261475, 1.4726896286010742]"
A patient with the Wolff-Parkinson-White syndrome presented with incessant orthodromic atrioventricular tachycardia following initiation of procainamide therapy.,0,patient Wolff-Parkinson-White syndrome presented incessant orthodromic atrioventricular tachycardia following initiation procainamide therapy.,"[0.000650485628284514, 0.002056913683190942, 0.003923099488019943, 0.005741682834923267, 0.012066701427102089, 0.02786456048488617, 0.0535481758415699, 0.1112392246723175, 0.244432270526886, 0.6100649237632751, 0.6924525499343872, 1.5265579223632812]"
the bangladesh girl guides association () is the national guiding organization of bangladesh,0,bangladesh girl guides association () national guiding organization bangladesh,"[2.0335872173309326, 0.013652222231030464, 0.05067811906337738, 0.07612013816833496, 0.20463141798973083, 0.2055852860212326, 0.6430262327194214, 0.7818512320518494, 2.0335872173309326]"
GLC: How do you see the issue of stakeholder capitalism evolving in Australia over the next 10 years? PH: These things run in cycles.,0,GLC: see issue stakeholder capitalism evolving Australia next 10 years? PH: things run cycles.,"[0.0005021829274483025, 0.0009314140188507736, 0.001158632803708315, 0.003227150533348322, 0.005946278106421232, 0.009863831102848053, 0.013524976558983326, 0.023477761074900627, 0.04732571542263031, 0.11275763809680939, 0.20370163023471832, 0.5661854147911072, 0.9495185613632202, 1.5595662593841553]"
"√äLate payments from customers can cause problems with VAT. The VAT you have to pay to HMRC is normally based on when the transaction took place, not when payment was received.",0,"√äLate payments customers cause problems VAT. VAT pay HMRC normally based transaction took place, payment received.","[0.00030110866646282375, 0.0005334343295544386, 0.0008037278894335032, 0.0021423273719847202, 0.0027064667083323, 0.006167278625071049, 0.013139808550477028, 0.011144416406750679, 0.018451275303959846, 0.03500043973326683, 0.061214469373226166, 0.137323260307312, 0.26558637619018555, 0.3751564919948578, 0.640411376953125, 0.8897340893745422]"
The complete treatment schedule required the administration of a total of 708 mg of recombinant FVIIa.,0,complete treatment schedule required administration total 708 mg recombinant FVIIa.,"[0.006712253671139479, 0.009285843931138515, 0.023854639381170273, 0.03972857818007469, 0.07703635096549988, 0.13984571397304535, 0.22562043368816376, 0.43141400814056396, 0.7353959083557129, 1.466780424118042]"
"Basic CRR discoveries are leading to early phase√ä clinical trials in breast cancer and melanoma and have impacted a chemoprevention trial in colon cancer. Co-Led by Douglas Grossman, MD, PhD, and Katharine Ullman, PhD, CRR has 26 members from√ä 12 University of Utah departments in three colleges, including five new members who were strategically√ä recruited.",0,"Basic CRR discoveries leading early phase√ä clinical trials breast cancer melanoma impacted chemoprevention trial colon cancer. Co-Led Douglas Grossman, MD, PhD, Katharine Ullman, PhD, CRR 26 members from√ä 12 University Utah departments three colleges, including five new members strategically√ä recruited.","[2.2730833881823287e-10, 0.00024069285427685827, 1.0338233602524838e-09, 1.2195158216599111e-09, 2.5359239153033286e-09, 7.058059470210765e-09, 1.1345317574296132e-08, 1.5773805372987226e-08, 3.165703432728151e-08, 7.243401256573634e-08, 8.728677869385137e-08, 1.6398513480453403e-07, 3.168565569922066e-07, 8.605902621638961e-07, 9.868443839877727e-07, 2.838633918145206e-06, 4.720924152934458e-06, 8.617194907856174e-06, 7.660933988518082e-06, 1.75192799360957e-05, 0.00020871991000603884, 6.241833762032911e-05, 8.62837623571977e-05, 0.00020871991000603884, 0.00024069285427685827, 0.0004816301807295531, 0.46520236134529114, 0.0035339766182005405, 0.0029992354102432728, 0.004579643718898296, 0.010141780599951744, 0.014746326021850109, 0.02187645435333252, 0.0470028780400753, 0.10463622957468033, 0.2594897747039795, 0.3296607732772827, 0.46520236134529114, 0.9580646753311157, 1.424447774887085]"
"AAN stock opened at $62.75 on Monday. The stock has a market capitalization of $4.24 billion, a price-to-earnings ratio of 18.68, a PEG ratio of 1.06 and a beta of 0.50. The company has a debt-to-equity ratio of 0.23, a quick ratio of 0.63 and a current ratio of 2.77.",0,"AAN stock opened $62.75 Monday. stock market capitalization $4.24 billion, price-to-earnings ratio 18.68, PEG ratio 1.06 beta 0.50. company debt-to-equity ratio 0.23, quick ratio 0.63 current ratio 2.77.","[7.865844509069575e-07, 6.982753347983817e-06, 1.6891219729586737e-06, 1.8027378700935515e-06, 5.978140507068019e-06, 6.982753347983817e-06, 4.4791988329961896e-05, 1.508477726019919e-05, 3.439139254624024e-05, 4.1987968870671466e-05, 0.00010395448771305382, 0.808631181716919, 0.00018801269470714033, 0.00047077605267986655, 0.808631181716919, 0.001395359868183732, 0.0023298589512705803, 0.005188103765249252, 0.006440805736929178, 0.014000041410326958, 0.808631181716919, 0.02650940604507923, 0.06669566035270691, 0.808631181716919, 0.2238452434539795, 0.3799905478954315, 0.808631181716919, 1.6191993951797485]"
personal lifein 1961 parslow married fellow mtc actor joan harris who predeceased him by five months in september 2016,0,personal lifein 1961 parslow married fellow mtc actor joan harris predeceased five months september 2016,"[0.00017531246703583747, 0.000462146766949445, 0.0008152193622663617, 0.002367313951253891, 0.0021631757263094187, 0.0054815905168652534, 0.009479464031755924, 0.026194583624601364, 0.032675523310899734, 0.07232514023780823, 0.12914519011974335, 0.22755403816699982, 0.5182797908782959, 0.5861330032348633, 1.5750354528427124]"
METHODS: We describe a patient with MS in remission who had not exhibited any signs of IBD in the past.,0,METHODS: describe patient MS remission exhibited signs IBD past.,"[0.023898301646113396, 0.021699318662285805, 0.0455545075237751, 0.07526347786188126, 0.13876350224018097, 0.20876412093639374, 0.4951058030128479, 1.0995374917984009, 2.797518491744995]"
"at celtic he earned the nicknames ""the black arrow"" and ""the black flash""",0,"celtic earned nicknames ""the black arrow"" ""the black flash""","[0.03012441284954548, 0.045490894466638565, 0.09257955104112625, 0.39839988946914673, 0.839826226234436, 0.34157294034957886, 0.39839988946914673, 0.839826226234436, 2.189133405685425]"
Remissions following treatment of individual lesions varied from one month to at least three years.,0,Remissions following treatment individual lesions varied one month least three years.,"[0.004549058154225349, 0.008380246348679066, 0.014984807930886745, 0.03983301669359207, 0.0676550418138504, 0.11773435771465302, 0.19953441619873047, 0.32176473736763, 0.4660608768463135, 0.7808763980865479, 1.3918532133102417]"
the ariane 4 was in service throughout this period and conducted most launches with the ariane 5 making its first four flights in the second half of the decade,0,ariane 4 service throughout period conducted launches ariane 5 making first four flights second half decade,"[0.00850583240389824, 0.000131753200548701, 0.000530113116838038, 0.0008722589118406177, 0.0012687997659668326, 0.002041195286437869, 0.005004847887903452, 0.00850583240389824, 0.013099391013383865, 0.019993888214230537, 0.062240585684776306, 0.0835295170545578, 0.14077243208885193, 0.5639269351959229, 0.8853800892829895, 1.71919584274292]"
"√äTo avoid going through the inconvenience of signing up for direct deposit, know that you still have options.",0,"√äTo avoid going inconvenience signing direct deposit, know still options.","[0.004185906145721674, 0.0062002819031476974, 0.010661374777555466, 0.020030317828059196, 0.05052518472075462, 0.12279267609119415, 0.20346881449222565, 0.4945119619369507, 0.584396481513977, 1.3642430305480957]"
